file,params,prop,type,n,a,repeat,error,time_VI,iters_VI,dist_VI,time_VIGS,iters_VIGS,dist_VIGS,time_RVI,iters_RVI,dist_RVI,time_PI1,iters_PI1,dist_PI1,time_PIGS1,iters_PIGS1,dist_PIGS1,time_PI2,iters_PI2,dist_PI2,time_PIGS2,iters_PIGS2,dist_PIGS2,time_PI3,iters_PI3,dist_PI3,time_PIGS3,iters_PIGS3,dist_PIGS3
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,15,,0.17274,5000.0,0.00102909,,,,0.17062,5000.0,0.00102909,0.25848,4857.0,9.93487e-09,0.1661,3264.0,9.9642e-09,0.25191,3239.0,9.98398e-09,0.14719,2076.0,9.95396e-09,0.26086,813.0,9.95487e-09,0.15384,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,16,,0.17289,5000.0,0.00102909,,,,0.17049,5000.0,0.00102909,0.2594,4857.0,9.93487e-09,0.16932,3264.0,9.9642e-09,0.25151,3239.0,9.98398e-09,0.1459,2076.0,9.95396e-09,0.26094,813.0,9.95487e-09,0.15323,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,17,,0.1716,5000.0,0.00102909,,,,0.16942,5000.0,0.00102909,0.25746,4857.0,9.93487e-09,0.16656,3264.0,9.9642e-09,0.25154,3239.0,9.98398e-09,0.14591,2076.0,9.95396e-09,0.26025,813.0,9.95487e-09,0.15168,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,18,,0.17115,5000.0,0.00102909,,,,0.17039,5000.0,0.00102909,0.25939,4857.0,9.93487e-09,0.16592,3264.0,9.9642e-09,0.25357,3239.0,9.98398e-09,0.1463,2076.0,9.95396e-09,0.26346,813.0,9.95487e-09,0.15126,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,19,,0.17129,5000.0,0.00102909,,,,0.16927,5000.0,0.00102909,0.25958,4857.0,9.93487e-09,0.16727,3264.0,9.9642e-09,0.26003,3239.0,9.98398e-09,0.14535,2076.0,9.95396e-09,0.26216,813.0,9.95487e-09,0.15206,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,20,,0.17168,5000.0,0.00102909,,,,0.1705,5000.0,0.00102909,0.25872,4857.0,9.93487e-09,0.16737,3264.0,9.9642e-09,0.25389,3239.0,9.98398e-09,0.14529,2076.0,9.95396e-09,0.26271,813.0,9.95487e-09,0.15158,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,21,,0.17124,5000.0,0.00102909,,,,0.17017,5000.0,0.00102909,0.25896,4857.0,9.93487e-09,0.16616,3264.0,9.9642e-09,0.25189,3239.0,9.98398e-09,0.14481,2076.0,9.95396e-09,0.25966,813.0,9.95487e-09,0.15043,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,22,,0.17063,5000.0,0.00102909,,,,0.17091,5000.0,0.00102909,0.25966,4857.0,9.93487e-09,0.16694,3264.0,9.9642e-09,0.2519,3239.0,9.98398e-09,0.14461,2076.0,9.95396e-09,0.2656,813.0,9.95487e-09,0.15185,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,23,,0.17098,5000.0,0.00102909,,,,0.17016,5000.0,0.00102909,0.25906,4857.0,9.93487e-09,0.17434,3264.0,9.9642e-09,0.25662,3239.0,9.98398e-09,0.14791,2076.0,9.95396e-09,0.26004,813.0,9.95487e-09,0.14989,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,24,,0.17154,5000.0,0.00102909,,,,0.16988,5000.0,0.00102909,0.25943,4857.0,9.93487e-09,0.16656,3264.0,9.9642e-09,0.25092,3239.0,9.98398e-09,0.14724,2076.0,9.95396e-09,0.26304,813.0,9.95487e-09,0.15259,33.0,9.9717e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,25,,0.17118,5000.0,0.00102909,,,,0.16973,5000.0,0.00102909,0.26155,4857.0,9.93487e-09,0.1673,3264.0,9.9642e-09,0.25151,3239.0,9.98398e-09,0.14673,2076.0,9.95396e-09,0.25949,813.0,9.95487e-09,0.15207,33.0,9.9717e-09
