file,params,prop,type,n,a,repeat,error,time_VI,iters_VI,dist_VI,time_VIGS,iters_VIGS,dist_VIGS,time_RVI,iters_RVI,dist_RVI,time_PI1,iters_PI1,dist_PI1,time_PIGS1,iters_PIGS1,dist_PIGS1,time_PI2,iters_PI2,dist_PI2,time_PIGS2,iters_PIGS2,dist_PIGS2,time_PI3,iters_PI3,dist_PI3,time_PIGS3,iters_PIGS3,dist_PIGS3
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,16,,0.25525,8285,9.984e-09,0.12144,4153,9.98399e-09,,,,0.16341,4067,9.984e-09,0.10285,2581,9.93664e-09,0.13545,2780,9.984e-09,0.07809,1672,9.98878e-09,0.08675,555,9.984e-09,0.03897,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,17,,0.24932,8285,9.984e-09,0.12254,4153,9.98399e-09,,,,0.16277,4067,9.984e-09,0.10223,2581,9.93664e-09,0.13514,2780,9.984e-09,0.07753,1672,9.98878e-09,0.08686,555,9.984e-09,0.03893,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,18,,0.24921,8285,9.984e-09,0.1231,4153,9.98399e-09,,,,0.16145,4067,9.984e-09,0.10236,2581,9.93664e-09,0.13471,2780,9.984e-09,0.07789,1672,9.98878e-09,0.08649,555,9.984e-09,0.03844,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,19,,0.25079,8285,9.984e-09,0.12365,4153,9.98399e-09,,,,0.16242,4067,9.984e-09,0.10204,2581,9.93664e-09,0.13506,2780,9.984e-09,0.07873,1672,9.98878e-09,0.08556,555,9.984e-09,0.03805,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},c2,TotalRewardMDP,1040,3,20,,0.24425,8285,9.984e-09,0.12206,4153,9.98399e-09,,,,0.16147,4067,9.984e-09,0.10072,2581,9.93664e-09,0.13059,2780,9.984e-09,0.07728,1672,9.98878e-09,0.08632,555,9.984e-09,0.03861,219,9.9738e-09
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,1,,0.46463,13100,9.99273e-09,,,,0.46484,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,2,,0.46066,13100,9.99273e-09,,,,0.46368,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,3,,0.45723,13100,9.99273e-09,,,,0.4658,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,4,,0.46731,13100,9.99273e-09,,,,0.47394,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,5,,0.46072,13100,9.99273e-09,,,,0.45577,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,6,,0.46136,13100,9.99273e-09,,,,0.46408,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,7,,0.46043,13100,9.99273e-09,,,,0.46165,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,8,,0.4628,13100,9.99273e-09,,,,0.46288,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,9,,0.46221,13100,9.99273e-09,,,,0.46317,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,10,,0.46447,13100,9.99273e-09,,,,0.46611,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,11,,0.46621,13100,9.99273e-09,,,,0.47153,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,12,,0.4644,13100,9.99273e-09,,,,0.46324,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,13,,0.46623,13100,9.99273e-09,,,,0.46423,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,14,,0.4638,13100,9.99273e-09,,,,0.4658,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
